firstAuthor	accessionId	publicationDate	journal	title	reportedTrait	efoTraits	bgTraits	discoverySampleAncestry	"replicationSampleAncestry"	associationCount	summaryStatistics	ssApiFlag	agreedToCc0	genotypingTechnologies	pubmedId	initialSampleDescription	"replicateSampleDescription"
"Chen Y"	GCST90200675	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetyltyrosine levels"	"N-acetyltyrosine measurement"	-	"7841 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200675"	no	no	"Genome-wide genotyping array"	36635386	"7,841 European ancestry individuals"	NA
"Chen Y"	GCST90200676	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetylglutamine levels"	"N-acetylglutamine measurement"	-	"8181 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200676"	no	no	"Genome-wide genotyping array"	36635386	"8,181 European ancestry individuals"	NA
"Chen Y"	GCST90200677	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetylphenylalanine levels"	"N-acetylphenylalanine measurement"	-	"8228 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200677"	no	no	"Genome-wide genotyping array"	36635386	"8,228 European ancestry individuals"	NA
"Chen Y"	GCST90200678	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetylasparagine levels"	"blood N-acetylasparagine measurement"	-	"7935 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200678"	no	no	"Genome-wide genotyping array"	36635386	"7,935 European ancestry individuals"	NA
"Chen Y"	GCST90200679	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetylarginine levels"	"N-acetylarginine measurement"	-	"8271 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200679"	no	no	"Genome-wide genotyping array"	36635386	"8,271 European ancestry individuals"	NA
"Chen Y"	GCST90200680	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"5-acetylamino-6-formylamino-3-methyluracil levels"	"5-acetylamino-6-formylamino-3-methyluracil measurement"	-	"7599 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200680"	no	no	"Genome-wide genotyping array"	36635386	"7,599 European ancestry individuals"	NA
"Chen Y"	GCST90200681	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Orotidine levels"	"orotidine measurement"	-	"8017 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200681"	no	no	"Genome-wide genotyping array"	36635386	"8,017 European ancestry individuals"	NA
"Chen Y"	GCST90200682	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"3-methylcytidine levels"	"3-methylcytidine measurement"	-	"8117 European"		3	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200682"	no	no	"Genome-wide genotyping array"	36635386	"8,117 European ancestry individuals"	NA
"Chen Y"	GCST90200683	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetylcitrulline levels"	"N-acetylcitrulline measurement"	-	"7324 European"		1	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200683"	no	no	"Genome-wide genotyping array"	36635386	"7,324 European ancestry individuals"	NA
"Chen Y"	GCST90200684	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"N-acetyl-aspartyl-glutamate (naag) levels"	"N-acetyl-aspartyl-glutamate (NAAG) measurement"	-	"7705 European"		8	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200684"	no	no	"Genome-wide genotyping array"	36635386	"7,705 European ancestry individuals"	NA
"Chen Y"	GCST90200685	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"1-stearoyl-2-arachidonoyl-gpc (18:0/20:4) levels"	"1-stearoyl-2-arachidonoyl-GPC (18:0/20:4) measurement"	-	"8253 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200685"	no	no	"Genome-wide genotyping array"	36635386	"8,253 European ancestry individuals"	NA
"Chen Y"	GCST90200686	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Bilirubin (E,E) levels"	"bilirubin measurement"	-	"8263 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200686"	no	no	"Genome-wide genotyping array"	36635386	"8,263 European ancestry individuals"	NA
"Chen Y"	GCST90200687	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Bilirubin (E,Z or Z,E) levels"	"bilirubin measurement"	-	"8238 European"		2	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200687"	no	no	"Genome-wide genotyping array"	36635386	"8,238 European ancestry individuals"	NA
"Chen Y"	GCST90200688	2023-01-12	"Nat Genet"	"Genomic atlas of the plasma metabolome prioritizes metabolites implicated in human diseases."	"Androsterone glucuronide levels"	"androsterone glucuronide measurement"	-	"7980 European"		4	"http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90200001-GCST90201000/GCST90200688"	no	no	"Genome-wide genotyping array"	36635386	"7,980 European ancestry individuals"	NA
